URL,Year,School,Conf,Class,Pos,G,college_solo_tackles,college_assisted_tackle,college_total_tackles,college_tackles_for_loss,college_sk,college_int,college_int_yds,college_int_td,college_passes_defended,college_fumbles_recov,college_fumbles_recov_yds,college_fumbles_recov_td,college_fumbles_forced
https://www.sports-reference.com/cfb/players/adoree-jackson-1.html,,USC,Pac-12,,,39.0,113.0,26.0,139.0,6.0,0.0,6.0,67.0,1.0,28.0,2.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/adrian-colbert-1.html,,Texas,Big 12,,,22.0,33.0,15.0,48.0,2.5,0.0,2.0,46.0,0.0,4.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/ahkello-witherspoon-1.html,,Colorado,Pac-12,,,29.0,61.0,10.0,71.0,0.0,0.0,3.0,0.0,0.0,24.0,1.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/al-quadin-muhammad-1.html,,Miami (FL),ACC,,,17.0,39.0,21.0,60.0,10.5,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/alex-anzalone-1.html,,Florida,SEC,,,18.0,33.0,42.0,75.0,5.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/anthony-walker-1.html,,Northwestern,Big Ten,,,36.0,154.0,122.0,276.0,38.0,7.5,4.0,134.0,1.0,12.0,6.0,13.0,1.0,8.0
https://www.sports-reference.com/cfb/players/arthur-maulet-1.html,,Memphis,American,,,25.0,90.0,19.0,109.0,7.5,4.5,4.0,89.0,1.0,19.0,1.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/ashton-lampkin-1.html,,Oklahoma State,Big 12,,,49.0,88.0,23.0,111.0,1.0,0.0,5.0,79.0,1.0,12.0,1.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/ben-boulware-1.html,,Clemson,ACC,,,46.0,144.0,117.0,261.0,26.5,8.0,5.0,63.0,1.0,10.0,4.0,0.0,0.0,7.0
https://www.sports-reference.com/cfb/players/ben-gedeon-1.html,,Michigan,Big Ten,,,40.0,81.0,83.0,164.0,20.5,6.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
https://www.sports-reference.com/cfb/players/blair-brown-1.html,,Ohio,MAC,,,42.0,151.0,115.0,266.0,25.5,5.5,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/brian-allen-6.html,,Utah,Pac-12,,,26.0,44.0,18.0,62.0,4.5,1.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0
https://www.sports-reference.com/cfb/players/brooks-ellis-1.html,,Arkansas,SEC,,,44.0,126.0,164.0,290.0,22.5,3.5,4.0,138.0,1.0,14.0,2.0,0.0,0.0,2.0
https://www.sports-reference.com/cfb/players/bryan-cox-jr-1.html,,Florida,SEC,,,35.0,51.0,48.0,99.0,20.5,10.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/budda-baker-1.html,,Washington,Pac-12,,,39.0,138.0,61.0,199.0,13.0,4.0,5.0,62.0,0.0,18.0,0.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/caleb-brantley-1.html,,Florida,SEC,,,31.0,33.0,47.0,80.0,20.5,5.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/cameron-sutton-1.html,,Tennessee,SEC,,,44.0,111.0,16.0,127.0,13.0,1.0,7.0,35.0,1.0,30.0,2.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/carl-lawson-2.html,,Auburn,SEC,,,30.0,35.0,32.0,67.0,24.5,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
https://www.sports-reference.com/cfb/players/carlos-watkins-1.html,,Clemson,ACC,,,40.0,58.0,52.0,110.0,24.5,14.0,1.0,15.0,1.0,7.0,1.0,0.0,0.0,0.0
